City,Country,Movehub Rating,Purchase Power,Health Care,Pollution,Quality of Life,Crime Rating,Cappuccino,Cinema,Wine,Gasoline,Avg Rent,Avg Disposable Income,HDI,Happinness Score,GDP/capita,Social Support,Healthy Life Expectancy,Freedom to make life choices,Generosity,Perception of Corruption,Country World Heritage Count
Milan,Italy,81.9,43.43,71.36,22.09,40.8,56.2,1.19,6.82,4.26,1.53,1704.96,1491.84,0.872,6.223,1.294,1.488,1.039,0.231,0.158,0.03,55
Naples,Italy,76.27,35.38,41.67,12.01,42.92,56.67,1.02,6.39,4.26,1.53,1044.29,1022.98,0.872,6.223,1.294,1.488,1.039,0.231,0.158,0.03,55
Rome,Italy,79.07,32.72,61.64,19.84,26.8,62.34,1.02,6.82,4.26,1.53,2131.21,1270.2,0.872,6.223,1.294,1.488,1.039,0.231,0.158,0.03,55
Venice,Italy,78.82,45.69,72.67,11.48,70.34,21.48,1.28,6.82,3.41,1.4,1278.72,1875.46,0.872,6.223,1.294,1.488,1.039,0.231,0.158,0.03,55
Tokyo,Japan,80,47.57,71.53,30.54,69.29,13.91,2.3,11.8,8.52,0.98,1967.31,2065.67,0.89,5.886,1.327,1.419,1.088,0.445,0.069,0.14,23
Amman,Jordan,74.4,21.22,75.37,61.63,39.57,46.74,2.55,6.54,12.79,0.83,460.92,441.94,0.745,4.906,0.837,1.225,0.815,0.383,0.11,0.13,5
Nairobi,Kenya,71.12,15.82,61.34,39.16,14.36,71.88,1.36,3.92,7.21,0.94,632.15,323.49,0.535,4.509,0.512,0.983,0.581,0.431,0.372,0.053,7
Vilnius,Lithuania,72.45,24.17,77.31,82.08,64.19,27.93,1.23,4.44,4.44,1.19,493.78,457.29,0.834,6.149,1.238,1.515,0.818,0.291,0.043,0.042,4
Luxembourg,Luxembourg,85.85,76.44,59.72,57.17,81.41,18.75,2.13,7.25,4.26,1.15,1704.96,2983.69,0.881,7.09,1.609,1.479,1.012,0.526,0.194,0.316,1
Kuala Lumpur,Malaysia,77.88,37.09,56.21,69.65,42.4,68.91,1.72,2.57,10.72,0.41,857.82,702.18,0.773,5.339,1.221,1.171,0.828,0.508,0.26,0.024,4
Sliema,Malta,81.05,52.84,72.22,67.78,65.03,22.19,1.7,7.25,2.98,1.2,596.74,1363.97,0.829,6.726,1.3,1.52,0.999,0.564,0.375,0.151,3
Mexico City,Mexico,75.07,24.28,61.76,18.95,27.91,77.86,1.6,3.2,7.47,0.56,747.1,587.01,0.756,6.595,1.07,1.323,0.861,0.433,0.074,0.073,35
Ulaanbaatar,Mongolia,68.29,15.35,43.06,55.87,24.5,46.87,1.75,3.27,6.54,0.78,1307.54,326.88,0.698,5.285,0.948,1.531,0.667,0.317,0.235,0.038,4
Casablanca,Morocco,68.27,13.2,53.7,62.97,48.69,38.28,1.7,3.94,3.45,0.85,997.08,230.09,0.617,5.208,0.801,0.782,0.782,0.418,0.036,0.076,9
Amsterdam,Netherlands,84,47.18,68.06,53.42,72.85,29.76,2.09,8.52,4.26,1.45,1513.16,1747.59,0.915,7.488,1.396,1.522,0.999,0.557,0.322,0.298,10
Rotterdam,Netherlands,80.68,50.9,63.26,20.36,67.77,74.27,2.09,8.1,3.84,1.46,1278.72,1704.96,0.915,7.488,1.396,1.522,0.999,0.557,0.322,0.298,10
The Hague,Netherlands,83.23,68.28,66.74,37.21,79.99,29.76,2.26,8.1,4.05,1.52,1363.97,2386.95,0.915,7.488,1.396,1.522,0.999,0.557,0.322,0.298,10
Utrecht,Netherlands,79.7,49.87,70.9,18.27,72.61,29.76,2.13,6.82,4.26,1.45,1193.48,1611.19,0.915,7.488,1.396,1.522,0.999,0.557,0.322,0.298,10
Auckland,New Zealand,86.43,49.02,71.85,30.03,66.98,50.38,2.2,8.82,8.27,1.18,1432.98,2149.47,0.91,7.307,1.303,1.557,1.026,0.585,0.33,0.38,3
Christchurch,New Zealand,83.36,47.1,83.86,22.2,76.6,51.3,2.48,8.82,7.72,1.18,881.83,1460.54,0.91,7.307,1.303,1.557,1.026,0.585,0.33,0.38,3
Hamilton,New Zealand,81.34,56.52,86.67,81.68,84.83,35.68,1.91,7.01,8.29,0.8,605.64,1593.78,0.91,7.307,1.303,1.557,1.026,0.585,0.33,0.38,3
Wellington,New Zealand,81.06,49.11,73.72,30.55,79.83,27.38,2.2,8.82,8.27,1.17,1515.65,1763.67,0.91,7.307,1.303,1.557,1.026,0.585,0.33,0.38,3
Lagos,Nigeria,72.47,14.91,62.04,26.63,19.48,60.44,2.62,6.54,7.85,0.4,1193.13,350.79,0.504,5.265,0.696,1.111,0.245,0.426,0.215,0.041,2
Bergen,Norway,80.74,51.24,84.95,18.4,83.76,16.67,3.92,12.32,12.32,1.57,1725.37,3002.59,0.944,7.554,1.488,1.582,1.028,0.603,0.271,0.341,8
Oslo,Norway,82.09,52.51,88.19,29.39,71.27,35.53,3.36,11.2,12.32,1.57,2016.66,2800.92,0.944,7.554,1.488,1.582,1.028,0.603,0.271,0.341,8
Stavanger,Norway,79.41,46.59,62.48,29.13,76.5,20.83,4.48,10.65,13.44,1.68,2240.74,2957.77,0.944,7.554,1.488,1.582,1.028,0.603,0.271,0.341,8
Trondheim,Norway,80.36,51.22,81.67,14.53,82.67,19.8,3.81,12.32,13.44,1.57,1680.55,2800.92,0.944,7.554,1.488,1.582,1.028,0.603,0.271,0.341,8
Muscat,Oman,86.3,77.16,62.5,64.65,58.99,50,1.7,5.1,5.46,0.2,1061.97,1609.09,0.783,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,5
Karachi,Pakistan,67.81,14.63,51.57,69.63,18.5,74.36,1,3.27,5.11,0.67,197.78,139.6,0.537,5.653,0.677,0.886,0.535,0.313,0.22,0.098,6
Lahore,Pakistan,67.32,12.45,48.94,30.55,28.52,51.98,1.23,3.27,6.54,0.66,206.08,132.95,0.537,5.653,0.677,0.886,0.535,0.313,0.22,0.098,6
Lima,Peru,73.19,23.22,53.7,58.49,22.67,65.31,1.65,3.79,6.27,1.03,784.52,392.26,0.737,5.697,0.96,1.274,0.854,0.455,0.083,0.027,12
